algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,idle_temp_c,mean_clock_mhz,time_per_call_us,idle_load_pct,active_load_pct,gpu_idle_power_w,gpu_active_power_w,power_samples,idle_samples,thermal_wait_s,load_wait_s,cpu_name
iir_butter4,filter,16384,1,fp32,71140,5.000064399999701,11.762773722627736,1.0395996772529972,25.311551155115513,10.533014194567512,13.548777432487777,126.55938583946438,67.74475970370149,0.0009522738220930769,73.60726072607261,85.0,51.0,1696.5366336633665,70.2848524037068,3.750364963503649,5.67128712871287,593.5,593.5,303,548,9.177832841873169,3.035634756088257,Intel Core i9-14900HX
median,filter,256,1,fp32,258054,5.000012200000128,13.156261022927689,2.601646227364678,29.946428571428573,12.528894665157505,16.790167548500882,149.7325082035753,83.95104258255066,0.0003253235469419217,76.82142857142857,90.0,52.0,1773.3000000000004,19.37583684035174,3.0959435626102296,4.000000000000001,593.5,593.5,28,567,19.24018144607544,3.07576060295105,Intel Core i9-14900HX
median,filter,1024,1,fp32,199774,5.000011800000266,12.155434782608697,0.7524401074583339,34.74166666666667,14.93666954920749,22.58623188405797,173.70874328500923,112.93142593783209,0.0005652959140720619,74.125,81.0,53.0,1863.75,25.028341025359985,3.455072463768116,7.837500000000001,593.5,593.5,24,552,7.108211517333984,3.027560234069824,Intel Core i9-14900HX
median,filter,4096,1,fp32,70916,5.000008500000149,20.288647746243743,4.273512551012753,36.263636363636365,15.603298372786213,15.974988617392622,181.31849005909632,79.87507887436874,0.0011263336746907431,78.45454545454545,95.0,53.0,2609.090909090909,70.50607056235756,21.071118530884807,14.50909090909091,593.5,593.5,33,599,22.211154222488403,3.041391372680664,Intel Core i9-14900HX
median,filter,16384,1,fp32,16892,5.000097900000128,12.045486111111112,0.23254429046811914,25.285000000000004,9.292350348539383,13.239513888888892,126.42747540150326,66.19886559285588,0.003918947761831392,79.4,90.0,51.0,1637.055,296.0039012550395,3.798611111111111,4.0649999999999995,593.5,593.5,40,576,27.263631343841553,3.028272867202759,Intel Core i9-14900HX
savgol,filter,256,1,fp32,27382,5.00011269999959,12.20994575045208,0.778154837965446,28.469047619047622,12.74442432885546,16.259101868595543,142.34844655689312,81.29734174375164,0.0029690067103846193,75.33333333333333,87.0,51.0,2036.9,182.605824994507,3.1103074141048825,4.699999999999999,593.5,593.5,168,553,7.104761600494385,3.027916669845581,Intel Core i9-14900HX
savgol,filter,1024,1,fp32,28481,5.000251099999787,13.792057761732853,2.365045184749218,30.941201716738195,12.523520269048456,17.149143955005343,154.71377791943544,85.75002592507016,0.003010780026160253,74.51931330472102,94.0,50.0,2042.0832618025754,175.5644499841925,3.7453068592057766,4.412446351931332,593.5,593.5,233,554,11.115598678588867,3.0357882976531982,Intel Core i9-14900HX
savgol,filter,4096,1,fp32,28013,5.00013379999973,13.27635135135135,4.222480241524612,35.16401384083046,8.67952403777418,21.887662489479105,175.8247741491947,109.44124101663071,0.003906801878293318,76.2318339100346,87.0,50.0,2570.8795847750866,178.49333523720165,3.5707770270270265,8.022145328719724,593.5,593.5,289,592,8.096109390258789,3.0400540828704834,Intel Core i9-14900HX
savgol,filter,16384,1,fp32,24682,5.0001006000002235,13.043804537521815,1.4426503303836398,29.582352941176467,13.7015772082297,16.53854840365465,147.91474069059484,82.69440579624636,0.0033503932337835816,73.24183006535948,88.0,50.0,1685.9156862745097,202.58085244308498,5.662303664921466,4.875816993464053,593.5,593.5,306,573,11.111010074615479,3.086524486541748,Intel Core i9-14900HX
wiener,filter,256,1,fp32,122744,5.000028200000088,11.48058608058608,0.7204168162322973,30.884782608695648,12.512219547155462,19.404196528109566,154.42478399435052,97.02152983889162,0.0007904380649065667,72.17391304347827,80.0,48.0,1974.4565217391298,40.735418431858896,3.1527472527472535,4.2217391304347816,593.5,593.5,46,546,11.095353364944458,3.033019781112671,Intel Core i9-14900HX
wiener,filter,1024,1,fp32,130302,5.000022600000193,12.149733570159857,1.0719974053177719,28.39220338983051,11.834687892714136,16.242469819670653,141.96165861295464,81.21271617817432,0.0006232653081163322,70.94237288135594,82.0,50.0,1741.2203389830513,38.37256987613539,3.288809946714032,4.4230508474576276,593.5,593.5,295,563,7.151674270629883,3.0505430698394775,Intel Core i9-14900HX
wiener,filter,4096,1,fp32,93514,5.000026000000162,13.024285714285716,1.3343602762892697,30.4658940397351,12.701694457098535,17.441608325449387,152.33026231192545,87.20849510906622,0.0009325715412565629,69.93708609271523,86.0,51.0,2017.126490066225,53.468207968862004,3.744464285714286,5.239735099337747,593.5,593.5,302,560,6.098268032073975,3.0317649841308594,Intel Core i9-14900HX
