algorithm,category,N,B,variant,gpus,repeat_idx,n_kernels,n_memcpy,n_memset,n_cuda_events,model_seq_steps,model_fused_steps,outer_iters,kpi_table,kpi_census,ratio_census_over_model,wall_ms,top_kernels
rls,adaptive,256,1,default,A100 SXM4+RTX 4090,0,1304,1,0,1305,1200,0,100,12,13.040,1.0867,4729.84,"225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x void gemvNSP_kernel<float, float, float, float, (int)1, (int | 100x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (b | 100x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a"
rls,adaptive,1024,1,default,A100 SXM4+RTX 4090,0,1304,1,0,1305,1200,0,100,12,13.040,1.0867,4861.10,"225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x void gemvNSP_kernel<float, float, float, float, (int)1, (int | 100x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (b | 100x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a"
rls,adaptive,4096,1,default,A100 SXM4+RTX 4090,0,1304,1,0,1305,1200,0,100,12,13.040,1.0867,4761.16,"225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x void gemvNSP_kernel<float, float, float, float, (int)1, (int | 100x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (b | 100x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a"
rls,adaptive,16384,1,default,A100 SXM4+RTX 4090,0,1304,1,0,1305,1200,0,100,12,13.040,1.0867,5004.39,"225x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 200x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 100x void gemvNSP_kernel<float, float, float, float, (int)1, (int | 100x void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (b | 100x void at::native::index_elementwise_kernel<(int)128, (int)4,  | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a | 100x void at::native::elementwise_kernel<(int)128, (int)2, void a"
jpeg_q50,compression,4096,2048,default,A100 SXM4+RTX 4090,0,10,0,0,10,0,0,0,0,,,4931.64,"2x void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int) | 1x ampere_sgemm_64x64_tn | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x ampere_sgemm_32x32_sliced1x4_tn | 1x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)"
jpeg_q50,compression,16384,512,default,RTX 4090,0,10,0,0,10,0,0,0,0,,,5155.76,"2x void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int) | 1x ampere_sgemm_64x64_tn | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x ampere_sgemm_32x32_sliced1x4_tn | 1x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)"
jpeg_q50,compression,16384,1024,default,A100 SXM4,0,13,0,0,13,0,0,0,0,,,4870.33,"4x void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int) | 2x ampere_sgemm_64x64_tn | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x void at::native::elementwise_kernel<(int)128, (int)2, void a | 1x ampere_sgemm_32x32_sliced1x4_tn | 1x void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)"
mdct_audio,compression,4096,1,default,A100 SXM4+RTX 4090,0,77,0,0,77,77,0,7,11,11.000,1.0000,4762.41,"14x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 7x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 7x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 7x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 7x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 7x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 7x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 7x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
mdct_audio,compression,16384,1,default,A100 SXM4+RTX 4090,0,341,0,0,341,341,0,31,11,11.000,1.0000,4692.13,"62x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 31x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 31x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 31x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 31x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 31x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 31x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 31x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
mdct_audio,compression,65536,1,default,A100 SXM4+RTX 4090,0,550,0,0,550,550,0,50,11,11.000,1.0000,4978.71,"100x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x std::enable_if<!T7, void>::type internal::gemvx::kernel<int, | 50x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x void at::native::vectorized_elementwise_kernel<(int)4, at::n | 50x void at::native::vectorized_elementwise_kernel<(int)4, at::n"
