algorithm,category,N,cpu_energy_j,gpu_energy_batch_j,gpu_energy_per_sig_j,ratio,winner,cpu_time_us,cpu_delta_w,gpu_delta_w
fir_direct,filter,256,6.426206771362825e-05,0.005825674725425809,2.844567737024321e-06,22.59115396592815,GPU,4.266268510262585,15.062827751944047,112.64256168341706
fir_direct,filter,1024,0.00014597576780494043,0.02111985259724183,1.0312428025996987e-05,14.15532476318328,GPU,10.608168287947816,13.760694951529649,136.67815201005024
fir_direct,filter,4096,0.0005499723998362003,0.08156204516787922,3.982521736712853e-05,13.809652180081857,GPU,35.261026809006886,15.597174830306368,147.92467474874366
fir_direct,filter,16384,0.0018872281065289258,0.33724256129167673,0.00016466921938070153,11.4607217646779,GPU,133.2569745749157,14.162321428571422,148.32426130653263
fir_fft,filter,256,0.0005342418791336045,0.00897474952025844,4.382201914188691e-06,121.91174427719463,GPU,30.28972939245139,17.637723738355508,80.06267788944724
fir_fft,filter,1024,0.000727721688930384,0.04218892615266579,2.0600061597981343e-05,35.326189947009446,GPU,37.1149246197558,19.607252241138248,145.11863819095475
fir_fft,filter,4096,0.0009649369474940432,0.13671001944416855,0.00013350587836344585,7.227673862173882,GPU,62.69937551726484,15.389897260273974,123.70612010050249
fir_fft,filter,16384,0.002985715275223727,0.178477966791307,0.000697179557778543,4.282562851867396,GPU,194.02145434790816,15.388583109319,123.65599459798997
hilbert,transform,256,0.00036454340109923477,0.004481718401111266,2.1883390630426102e-06,166.5845148294264,GPU,17.75034098372194,20.537261871957362,71.262427020202
hilbert,transform,1024,0.0004093725305431368,0.017745662588290703,8.66487431068882e-06,47.24506275159039,GPU,20.794152703440076,19.68690604428486,142.202516959799
hilbert,transform,4096,0.0006696231948149114,0.12808794540399632,6.254294209179508e-05,10.70661488601059,GPU,42.77217170378058,15.65558091023291,123.60380778894475
hilbert,transform,16384,0.002373831939125203,0.13724727853072682,0.00026806109088032583,8.855563227506915,GPU,143.74955006755943,16.513665176757414,124.13590452261309
iir_butter4,filter,1024,0.00028300906748962107,0.011890562883068133,0.005945281441534066,0.04760229944919075,CPU,16.822542821670922,16.823203869336965,37.158569597989946
iir_butter4,filter,4096,0.00040381953422245824,0.02510050028267754,0.01255025014133877,0.032176213993722176,CPU,27.66891466390642,14.594700917171618,37.1775175879397
iir_butter4,filter,16384,0.0009522738220930769,0.08124551548992104,0.08124551548992104,0.011720940120211456,CPU,70.2848524037068,13.548777432487777,37.118042964824134
jpeg_q50,compression,4096,0.003169999599411696,0.14609677786857478,7.133631731864003e-05,44.43738783503731,GPU,188.5712852617199,16.810616711934816,140.40926130653267
jpeg_q50,compression,16384,0.014327686175281011,0.1459515969909068,0.0002850617128728648,50.26169958387587,GPU,751.781220869079,19.058318800139524,141.55618932160803
kalman,estimation,256,0.039776604089025856,1.6825070460754763,1.6825070460754763,0.023641270437355127,CPU,2482.4256079403813,16.023281407424616,17.662245202020202
kalman,estimation,1024,0.040156332416961794,1.600148367815732,1.600148367815732,0.02509538066884187,CPU,2473.2536597424855,16.23623693379791,17.79215111940298
kalman,estimation,4096,0.041421147543154894,1.7534639464361672,1.7534639464361672,0.023622468900681662,CPU,2463.5915763547955,16.81331757289204,13.093395000000003
kalman,estimation,16384,0.043503930243165026,1.4859325723672698,1.4859325723672698,0.029277189996486864,CPU,2477.179247151867,17.561882246988628,13.459620000000001
lms,adaptive,256,0.00641220458619995,0.3202023255611696,0.3202023255611696,0.020025477875472205,CPU,367.23211662749986,17.460903597122304,19.75314795918367
lms,adaptive,1024,0.0075317881197447594,0.33878939751362236,0.33878939751362236,0.02223147529120038,CPU,383.5981818181958,19.634577213179824,19.446308465608467
lms,adaptive,4096,0.006432538195412619,0.32270212492448325,0.32270212492448325,0.01993336175557543,CPU,365.50070175437014,17.5992499180905,20.7602182160804
lms,adaptive,16384,0.006300581460112665,0.3277660712783887,0.3277660712783887,0.01922279946651725,CPU,355.6534106266302,17.715509740259744,16.943950251256283
lstm_denoiser,ml_enhanced,256,0.7921212466236603,0.14805304921881243,0.0011566644470219721,684.832363148284,GPU,23889.747619047004,33.157371909283455,117.74695175879397
lstm_denoiser,ml_enhanced,1024,1.7731928818700395,0.07134522954218023,0.07134522954218023,24.853699304754564,GPU,70390.98194444351,25.190625743359316,39.46424547738692
lstm_denoiser,ml_enhanced,4096,7.789348017907823,0.25728936308007005,0.25728936308007005,30.27466011287738,GPU,296732.7588235361,26.250381146963512,38.65976381909549
lstm_denoiser,ml_enhanced,16384,31.185493755685826,0.9853973027601359,0.9853973027601359,31.647634581842322,GPU,1147188.819999974,27.184272729999698,38.46002424623117
matched_filter,filter,256,0.0007336091762943928,0.009423428764940331,4.601283576631021e-06,159.4357670151529,GPU,41.77789624084246,17.559744321860073,77.4189611111111
matched_filter,filter,1024,0.000820536311422331,0.04181100424268824,2.041552941537512e-05,40.191772386974094,GPU,46.95648842057934,17.474396809083352,145.23549346733668
matched_filter,filter,4096,0.0012803607503722053,0.300056785290468,0.00014651210219261132,8.738941911358191,GPU,74.0149465612725,17.298678305634823,121.0040158291457
matched_filter,filter,16384,0.003054873658649632,0.1787400307047309,0.0006982032449403551,4.375335807713982,GPU,204.79372516894765,14.916832320567774,127.69496419597989
mdct_audio,compression,4096,0.022643904004129762,0.01963479750826249,0.01963479750826249,1.1532537574986965,GPU,885.9715095677027,25.558275587415373,15.80200879396985
