algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out,gpu_name
apa_p4,adaptive,256,1,fp32,269,10.001016855239868,74.83345,0.027494499449889326,77.01992000000001,0.2831829684144159,2.186470000000014,770.2775181092263,21.866923323476456,0.08128967778244035,34.0,34,1095,37178.5013205943,200,40,34.0,5.005741596221924,False,NVIDIA A100-SXM4-40GB
apa_p4,adaptive,1024,1,fp32,270,10.014483451843262,74.815375,0.05129507164436069,77.14152,0.28679717502095453,2.326144999999997,772.5324754900361,23.295140609087913,0.08627829855217746,34.0,34,1095,37090.67945127134,200,40,34.0,5.005645275115967,False,NVIDIA A100-SXM4-40GB
apa_p4,adaptive,4096,1,fp32,269,10.009450912475586,74.93865,0.09626020725097117,77.06179,0.2611010645324906,2.1231400000000065,771.346204232502,21.25146561031348,0.07900173089335867,34.0,34,1095,37209.85469321779,200,40,34.0,5.005422830581665,False,NVIDIA A100-SXM4-40GB
apa_p4,adaptive,16384,1,fp32,269,10.011821508407593,74.873875,0.03727746470724551,77.07085000000001,0.29704963810784213,2.196975000000009,771.6195937012554,21.99572155843386,0.08176848162986565,34.0,34,1095,37218.667317500345,200,40,34.0,5.005540132522583,False,NVIDIA A100-SXM4-40GB
kalman,estimation,256,1,fp32,108,10.09156608581543,74.768,0.042174636927896796,76.77816831683168,0.2408806478755171,2.010168316831681,774.8119595171673,20.285746412919277,0.18783098530480813,34.0,34,1095,93440.42672051323,202,40,34.0,5.005444049835205,False,NVIDIA A100-SXM4-40GB
kalman,estimation,1024,1,fp32,108,10.00179934501648,74.83512500000002,0.12999099728442473,76.833845,0.3040743839507021,1.9987199999999774,768.4767005960977,19.99079638687111,0.18509996654510288,34.0,34,1095,92609.25319459704,200,40,34.0,5.0055131912231445,False,NVIDIA A100-SXM4-40GB
kalman,estimation,4096,1,fp32,108,10.006339073181152,74.7535,0.13536266102585312,76.81039999999999,0.24489177201367876,2.0568999999999846,768.5909067466735,20.582038839626158,0.1905744337002422,34.0,34,1095,92651.2877146403,200,40,34.0,5.005480051040649,False,NVIDIA A100-SXM4-40GB
kalman,estimation,16384,1,fp32,107,10.044787645339966,74.8296,0.030799999999999272,76.75292039800995,0.22186162518155272,1.923320398009949,770.9667865576922,19.319344971960682,0.1805546259061746,34.0,34,1095,93876.52004990622,201,40,34.0,5.005514621734619,False,NVIDIA A100-SXM4-40GB
ekf,estimation,256,1,fp32,96,10.091713190078735,74.864175,0.07631640960501178,76.97012871287129,0.2887422250761182,2.1059537128712833,776.7604631737412,21.252680861878414,0.22138209231123349,34.0,34,1095,105122.01239665349,202,40,34.0,5.005488634109497,False,NVIDIA A100-SXM4-40GB
ekf,estimation,1024,1,fp32,96,10.007809162139893,74.60245,0.027494499449889326,76.91924499999999,0.28832277914691307,2.316794999999985,769.793124855883,23.186042227799742,0.2415212732062473,34.0,34,1095,104248.01210562389,200,40,34.0,5.005551815032959,False,NVIDIA A100-SXM4-40GB
ekf,estimation,4096,1,fp32,97,10.097519874572754,74.961425,0.07294720265369986,77.04039603960396,0.28857372307207946,2.0789710396039567,777.9169301548571,20.992451391062133,0.21641702465012508,34.0,34,1095,104098.14303683251,202,40,34.0,5.005460977554321,False,NVIDIA A100-SXM4-40GB
ekf,estimation,16384,1,fp32,96,10.014647245407104,74.61592500000002,0.012021621146916635,76.97431,0.1835372003164476,2.358384999999984,770.8705616086125,23.618393843859277,0.24602493587353413,34.0,34,1095,104319.24213965733,200,40,34.0,5.005542755126953,False,NVIDIA A100-SXM4-40GB
ukf,estimation,256,1,fp32,103,10.032843112945557,74.7834,0.030799999999999272,76.89722388059701,0.2995496862860906,2.1138238805970104,771.4977830150804,21.207663362427567,0.20589964429541327,34.0,34,1095,97406.2438150054,201,40,34.0,5.005492210388184,False,NVIDIA A100-SXM4-40GB
ukf,estimation,1024,1,fp32,103,10.024535894393921,74.804,0.0,76.76914427860697,0.2707893640474007,1.9651442786069708,769.5750424028013,19.699659358558428,0.19125882872386823,34.0,34,1095,97325.59120770797,201,40,34.0,5.005563497543335,False,NVIDIA A100-SXM4-40GB
ukf,estimation,4096,1,fp32,103,10.039018154144287,74.70725,0.07083210783253656,76.79338308457712,0.24511231563521463,2.0861330845771136,770.9301669042264,20.942727908030662,0.20332745541777342,34.0,34,1095,97466.19567130375,201,40,34.0,5.0054638385772705,False,NVIDIA A100-SXM4-40GB
ukf,estimation,16384,1,fp32,103,10.029812097549438,74.94749999999999,0.1476153786026352,76.72403980099502,0.24959563000057325,1.7765398009950246,769.5277025688844,17.81836038779797,0.1729937901727958,34.0,34,1095,97376.81648106252,201,40,34.0,5.005532741546631,False,NVIDIA A100-SXM4-40GB
