algorithm,category,signal_length,batch_size,precision,iterations,duration_s,idle_power_w,idle_power_std_w,mean_power_w,power_std_w,delta_power_w,total_energy_j,delta_energy_j,energy_per_call_j,mean_temp_c,max_temp_c,mean_clock_mhz,time_per_call_us,power_samples,idle_samples,idle_temp_c,thermal_wait_s,thermal_timed_out
iir_butter4,filter,1024,2,fp32,31274,10.007529020309448,4.66935,0.030379721855211216,41.82791959798995,13.650179162907172,37.158569597989946,418.5941192360547,371.86546360507276,0.011890562883068133,49.37688442211055,50,2196,319.99517235753177,199,40,47.0,5.0035459995269775,False
iir_butter4,filter,4096,2,fp32,14820,10.005762577056885,4.749,0.03454706934024921,41.9265175879397,13.1697515453891,37.1775175879397,419.50678066772434,371.98941418928115,0.02510050028267754,48.5678391959799,50,2179,675.1526705166589,199,40,47.0,7.005476951599121,False
iir_butter4,filter,16384,1,fp32,4573,10.009572505950928,4.79555,0.05839432763548189,41.91359296482413,13.529597442827914,37.118042964824134,419.5371477663219,371.53574233540894,0.08124551548992104,49.231155778894475,51,2185,2188.841571386601,199,40,47.0,5.00469183921814,False
median,filter,256,2048,fp32,11801,10.007670164108276,4.8303,0.031132137735786797,125.03764824120604,40.66721857664584,120.20734824120605,1251.3355416937834,1202.9954925000914,0.10194013155665549,60.93467336683417,65,2176,848.0357735876854,199,40,48.0,6.004777193069458,False
median,filter,1024,1024,fp32,5964,10.001462459564209,4.8378,0.020206682063119645,132.4095376884422,46.25561011089348,127.57173768844221,1324.289020479207,1275.9039453923274,0.21393426314425343,62.231155778894475,66,2196,1676.9722433876943,199,40,49.0,7.00438117980957,False
median,filter,4096,256,fp32,5905,10.009609937667847,4.75205,0.027950804997351843,132.5684522613065,44.53571654309062,127.81640226130651,1326.9584971760191,1279.3923302717246,0.21666254534660875,61.78894472361809,65,2208,1695.107525430626,199,40,49.0,8.006197929382324,False
median,filter,16384,64,fp32,5971,10.000978231430054,4.95905,0.04130916968422395,133.39003517587938,44.6135180637426,128.43098517587939,1334.0308380836589,1284.4354869850856,0.21511229056859582,62.96482412060301,67,2228,1674.925176926822,199,40,49.0,9.00689435005188,False
savgol,filter,256,2048,fp32,374259,10.00805139541626,4.8628,0.0023579652245104736,68.79632663316585,22.73684827756099,63.93352663316585,688.5171727605682,639.8500204349381,0.0017096449796396027,53.97487437185929,56,2158,26.740977225440833,199,40,49.0,10.010276794433594,False
savgol,filter,1024,2048,fp32,193484,10.005407094955444,4.772175,0.06233533809164761,98.99609045226133,34.157947835070196,94.22391545226132,990.4961857839064,942.7486321805374,0.004872488847556063,57.64321608040201,61,2190,51.71180611810509,199,40,48.0,6.005050420761108,False
savgol,filter,4096,2048,fp32,66770,10.003397464752197,4.807375,0.05373996999440926,147.57221608040203,49.552342250098505,142.76484108040202,1476.2235322065571,1428.133449319444,0.02138884902380476,61.336683417085425,65,2120,149.81874291975734,199,40,48.0,8.005599021911621,False
